state,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AK,0.064045855,0.06358482,0.058145587,0.043993747,0.041186561,0.052388018,0.043449969,0.050689873,0.048342372,0.0347701,0.038047293,0.032100832,0.04091633,0.050415632,0.052718713,0.059947593,0.06239934,0.057611409,0.053598953,0.042093525,0.042367054,0.045185283,0.069317363,0.06865395,0.071101802,0.054977677,0.050076537,0.043577741,0.052810104,0.053738167,0.082295813
AL,0.0452671,0.045636729,0.042016901,0.039849394,0.039691667,0.025061865,0.025605159,0.022610971,0.008906796,0.032672347,0.041132381,0.037146542,0.03556929,0.034102432,0.062545171,0.049976813,0.043511322,0.022949795,0.035448565,0.036405463,0.036915582,0.022556252,0.015228757,0.013871554,0.012270931,0.014108253,0.014548248,0.013500219,0.014706834,0.019613006,0.014033439
AR,0.001057349,0.001210994,0.001023137,0.001165507,0.001300509,0.001236537,0.001299591,0.000995463,0.001713424,0.002126815,5.97619E-05,0.000141972,0.000434727,0.004343324,0.021801225,0.010454382,0.000249695,0.000265409,0.027742816,0.027991434,0.027122627,0.030144137,0.000253514,6.82673E-05,0.000156776,8.40492E-05,0.000145007,9.24066E-05,0.000125171,8.58677E-05,0.00039186
AZ,0,0,8.92789E-06,7.82877E-06,4.93364E-06,7.07748E-06,5.05141E-06,9.48964E-06,0,8.71844E-06,1.02869E-05,0,0,0,0,0,1.13292E-05,4.63192E-07,0,0,0,7.54188E-07,5.42857E-07,2.41654E-05,2.70515E-05,2.73263E-05,2.87045E-05,1.71533E-05,4.75934E-07,6.72458E-06,7.28584E-05
CA,0.075739962,0.078336347,0.0424441,0.026437741,0.038805584,0.036955066,0.030292872,0.059004698,0.049487478,0.035377,0.047664557,0.024666379,0.027609514,0.029761902,0.018263216,0.061027304,0.054879027,0.047214129,0.039522822,0.066071287,0.035333003,0.043996306,0.064427311,0.071700001,0.070845427,0.093849795,0.076626248,0.064047188,0.063847964,0.049830153,0.06780422
CO,0,0,0,0,0,0,0,0,0,0,0,0,4.86271E-06,0.000199816,0,0,4.53167E-07,4.63192E-07,5.04865E-07,4.67576E-07,4.12023E-07,7.54188E-07,1.08571E-06,1.20827E-06,1.22961E-06,8.28071E-07,1.63319E-05,1.66E-06,9.51868E-07,1.55183E-06,1.31276E-06
CT,0.000960399,0.000943884,0.002115911,0.001659209,0.001377474,0.001564629,0.001135191,0.001543965,0.001305063,0.002108893,0.001337296,0.001284891,0.001170455,0.002589227,0.002755195,0.002855278,0.00296734,0.002980643,0.002439001,0.001932959,0.000765126,0.000576577,0.001408713,0.002188783,0.002202853,0.001611425,0.001923204,0.003056611,0.002280199,0.002809839,0.003561527
DC,6.37231E-06,2.30666E-06,2.67837E-06,9.78596E-07,2.76284E-05,6.06641E-06,9.18439E-07,0,1.41139E-06,1.45307E-06,1.46956E-06,4.76415E-06,0.000129348,1.86309E-06,1.46967E-05,2.36364E-06,3.17217E-06,4.63192E-06,3.02919E-06,2.33788E-06,4.94427E-06,5.65641E-06,8.14285E-06,0,0,1.40772E-05,2.17759E-05,1.77067E-05,3.33154E-06,5.84521E-05,2.69116E-05
DE,0.001389165,0.002739385,0.001457032,0.005527598,0.000876215,0.000630401,0.002930279,0.001016341,0.001211911,0.001679268,0.015841813,0.000551688,0.0002869,0.000301355,0.00025676,0.000314837,0.000203472,0.000275599,0.000394299,0.000287559,0.000195711,0.000636535,0.000305628,0.000159492,0.000376262,0.000574681,0.000839855,0.00038678,0.000451661,0.00065487,0.000972758
FL,0.041308527,0.046008562,0.057896053,0.073526785,0.063730852,0.077871498,0.076250179,0.070397962,0.07413783,0.067717561,0.060551583,0.065961065,0.069321384,0.06610656,0.056024168,0.057222316,0.056576139,0.065075292,0.077465418,0.04183215,0.047958613,0.054570775,0.065357224,0.08022556,0.081683858,0.078647247,0.100907311,0.108361968,0.123893692,0.135783183,0.119061716
