state,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AK,0.000868585,0.000453725,0.001864405,0.000828724,0.000721466,0.000793937,2.61844E-05,1.92072E-05,6.68081E-05,0.002181962,0.00083943,0.00058201,0.000470113,0.000138106,0,8.87314E-05,0.000189986,0.001668155,0.001311753,0,0.000238049,0.000562992,0.000535462,0,0,0,0,0,0,0,0
AL,0.017370735,0.019822121,0.020832946,0.022911595,0.01668355,0.018131501,0.018259676,0.017299667,0.00775621,0.008232907,0.020571213,0.007768882,0.019694579,0.011155554,0.010672444,0.007502595,0.01032342,0.008543021,0.007674154,0.006432147,0.006554807,0.008600419,0.009844216,0.008670048,0.0123922,0.00730392,0.009530508,0.009637691,0.007165891,0.006712589,0.006555735
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13221E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,0.340826124,0.261111795,0.19006795,0.228867306,0.271747691,0.305416935,0.289439217,0.188783766,0.16017683,0.220191904,0.238639671,0.265267817,0.283860261,0.257591035,0.237628449,0.256044219,0.261585912,0.251323231,0.273381599,0.307203558,0.281680309,0.241430016,0.249670325,0.214054393,0.189375044,0.251116356,0.233466448,0.248077862,0.279518806,0.348386713,0.3219302
CO,0,0,0,0,9.08351E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,0.000147885,2.57882E-05,0.000103763,0,0,0,3.04911E-05,4.76005E-05,4.63347E-05,4.10815E-06,6.68573E-05,1.51889E-05,0,2.42015E-05,0.000189279,4.57211E-05,0,0,0,2.75712E-05,0.000282808,0.000403619,0.000207431,0,0,0,0,0,0,0,0
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,0.00551192,0.007783462,0.005854778,0.007979736,0.008811678,0.006873793,0.014753719,0.014625894,0.01285324,0.016514576,0.01155646,0.013917847,0.010848971,0.010982461,0.008453281,0.008229253,0.008000421,0.00788816,0.008497864,0.008076476,0.00220527,4.30117E-05,0.002187677,0.000873918,0.001641247,0.000879358,0.001582773,0.000237465,0.000194762,0.001066937,0.001899507
FL,0.061273396,0.051215913,0.060814871,0.081736307,0.072131318,0.058365279,0.060333572,0.075118046,0.071875001,0.072201235,0.070987424,0.091476414,0.097032874,0.049956266,0.10899251,0.101386596,0.097594774,0.08413112,0.028894906,0.024743715,0.10055605,0.109661579,0.099379767,0.098895866,0.124740448,0.110432358,0.083336255,0.087125156,0.143704432,0.098566534,0.01657232
