Source,State,GHG,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ammonia Production,National,CO2e,14403.8156,14663.97469,15128.80858,14547.05235,15561.55471,14884.66275,15219.57317,15409.59823,15649.76206,14302.06132,13384.14982,10285.9996,11652.88828,9846.627438,10615.31706,10233.68904,9764.681875,10262.40398,9428.797602,9285.228286,9817.811741,8967.827485,9970.631116,9944.134518,10557.57378,10108.8366,10194.6483,12481.3431,12669.262,12387.934,12334.688,11458.2988,11944.86644,12210.56329
Ammonia Production,AK,CO2e,993.0241713,993.4942204,1062.953465,1039.402518,1094.111301,1021.39984,1075.073112,1041.308322,1043.31747,1002.461084,913.1044929,743.8960597,881.2457106,800.8513435,889.7107633,1000.791058,231.4689236,272.9622033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,AL,CO2e,144.816025,144.8845738,149.0384488,145.7363319,153.9501742,142.4583987,144.8615464,140.311884,140.5826083,135.0773834,119.9864582,104.1454484,123.3743995,112.1191881,124.5595069,140.1107481,144.6680772,155.0035369,146.3041689,137.963863,141.402151,124.8717496,118.1539311,92.11635566,110.9844141,139.5365763,125.9382042,131.5707934,100.4737853,114.9991533,124.8627885,109.7044025,110.1007591,117.9259596
Ammonia Production,AR,CO2e,496.5120856,505.0262287,519.291199,332.7187954,351.4711524,326.1311768,331.6327227,344.161225,344.8252656,331.3218838,287.5147205,226.739519,268.6036926,244.0994895,276.1662209,0,0,0,0,0,0,0,0,0,0,0,154.3062916,299.7722239,309.562308,278.4673874,301.6326388,298.2033177,291.7083582,317.185254
Ammonia Production,AZ,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,CA,CO2e,16.55040285,16.55823701,16.87227722,16.49845266,17.4283216,17.02333066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,CO,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,CT,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,DC,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,DE,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,FL,CO2e,82.75201427,82.79118504,85.29873485,83.40884402,43.57080401,41.21437949,41.90962979,40.59337526,62.77588169,60.31757373,53.57885868,42.25329619,50.05475636,49.97312383,55.51795163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,GA,CO2e,450.9984778,451.2119584,463.0502749,457.3737711,505.4213265,501.7402721,553.0248974,576.2494357,577.3612781,554.7517696,516.1681596,405.8696902,550.60232,455.5242442,511.7616311,575.6550167,594.3791287,670.7071281,633.0645799,596.9757089,739.5196986,692.9845899,661.0798438,740.1724644,855.7329219,808.3839206,671.024381,570.6317582,643.8740239,606.4941641,588.6007408,632.6532582,545.1476431,685.2335199
Ammonia Production,HI,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia Production,IA,CO2e,604.9172243,608.51521,663.6429041,711.2666259,770.719111,742.7547956,755.2844151,823.339546,819.6231314,586.1848714,533.5246913,420.7476114,498.4325739,452.9615199,537.385301,574.8543838,593.552454,699.9530784,660.6691401,623.0066264,587.702419,481.5395728,593.7860581,603.6474819,622.3413789,570.5618735,603.6415795,1697.903828,2010.261766,1867.017577,2035.426227,1749.990995,1950.774825,1948.860745
Ammonia Production,ID,CO2e,89.37217541,89.41447984,91.86017599,85.24200543,90.04632829,83.32472375,84.73033849,82.0692152,82.22756334,79.00752615,70.18075855,55.34586684,65.56468087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
