Source,Subcategory,State,GHG,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Petrochemical Production,Carbon Black,National,CO2,3381.330836,3472.109153,3687.068347,3909.246083,4096.998083,4187.848897,4237.364897,4445.289492,4590.424012,4650.236997,4574.025274,4243.563078,4350.69931,4228.959884,4408.683201,4269.424729,3918.147551,4013.992009,3521.978256,2793.322467,3320,3400,3430,3190,3270,3260,3160,3310,3440,3300,2610,3000,3060,2550
Petrochemical Production,Carbon Black,AK,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,AL,CO2,57.50562646,64.8992365,65.64513378,68.88539353,72.5132404,83.4589104,93.25699912,97.83305621,113.0646308,213.9515527,206.4090827,191.4965288,202.5936815,196.9247909,209.9372953,203.3059395,187.0679051,196.8067203,177.4640206,144.4274685,179.0871369,186.6103739,188.2569361,175.0844391,179.4752714,178.9264174,173.437877,181.6706876,188.8057901,181.1218335,143.2509047,164.6562123,167.9493366,0
Petrochemical Production,Carbon Black,AR,CO2,115.0112529,118.9819336,120.3494119,126.2898881,145.0264808,146.0530932,145.7140611,152.8641503,141.3307885,139.0685092,134.1659038,124.4727437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,AZ,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,CA,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,CO,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,CT,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,DC,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,DE,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,FL,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,GA,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,HI,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,IA,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,ID,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,IL,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,IN,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,Carbon Black,KS,CO2,83.64454758,86.53231534,87.52684503,91.84719137,102.7270906,98.36228726,93.25699912,97.83305621,130.0243255,123.0221428,118.6852226,110.1105041,116.4913668,113.2317548,120.7139448,116.9009152,106.8959458,112.460983,101.4080118,82.52998199,102.3355068,106.6344994,107.575392,100.0482509,102.5572979,102.2436671,99.10735826,103.8118215,107.8890229,103.4981906,81.85765983,94.08926417,95.97104946,84.62029355
Petrochemical Production,Carbon Black,KY,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
