Source,Subcategory,State,GHG,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Iron and Steel Production,All,National,CO2e,104763.8942,95236.89697,96017.52799,91673.52591,94551.93813,98423.71277,96388.41943,97621.53728,91160.08104,89040.58312,90487.33167,79806.07253,75797.35103,72678.51615,72260.92091,70097.82625,72787.54003,74542.58979,69950.09937,45077.21731,58569.53408,62966.70936,57269.9403,55198.47289,58199.71911,47955.86682,43633.72757,40822.54865,42872.11617,46843.36932,40682.5598,47226.16236,45164.28327,46248.11701
Iron and Steel Production,All,AK,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron and Steel Production,All,AL,CO2e,5835.158984,5349.179076,5382.680388,5099.014931,5362.163649,5554.272037,5421.950015,5443.575607,5723.070704,5798.951926,6250.311371,5789.813382,6992.833885,6494.211419,5750.777354,5689.097263,5759.574175,5560.745293,5294.116679,3594.612357,4339.352292,4618.796787,5330.730365,4481.718965,5292.568968,2181.278816,1495.351718,1255.165673,1179.15778,1364.416776,1218.781623,1149.416625,879.5065154,595.4463299
Iron and Steel Production,All,AR,CO2e,1047.137232,952.1646571,971.678882,936.9281758,943.9461335,984.2552914,971.8979822,991.0048836,1067.111398,1116.287759,1253.561143,1223.412412,1513.604343,1574.802499,1558.017036,1706.234966,1911.164533,2014.293263,1908.907251,1311.357448,544.3714792,538.6520213,640.7559113,52.94326644,66.99508594,51.55385126,41.17877648,258.1705397,244.1261493,261.7350341,284.2840739,446.6451832,459.161745,342.4666024
Iron and Steel Production,All,AZ,CO2e,266.8262761,242.6258393,247.5983566,238.7433553,240.5316362,250.8030144,247.6541866,252.5229118,198.6928603,154.2025154,158.3455384,107.1242804,67.63700996,72.25164364,78.39322918,73.50324331,89.75676932,101.9443945,99.04462999,70.34207349,31.7895205,27.11324511,44.99434692,46.49736067,40.40427039,34.91032259,56.43341322,44.82046745,34.60574481,39.66244811,28.31068062,27.45274686,19.1760725,15.85217331
Iron and Steel Production,All,CA,CO2e,3464.385242,3150.174673,3214.736214,3099.765769,3122.984224,3256.344444,3215.461092,3278.67503,3110.699065,2923.138574,3663.642657,3064.106618,2438.73877,2102.60281,1903.808728,1525.450434,1620.333579,1622.95476,1576.790509,1119.84581,12.76830152,15.34287023,15.47087099,13.06634409,18.17079478,16.91789354,23.7730725,18.3509324,30.98469646,15.37265948,0,0,0,0
Iron and Steel Production,All,CO,CO2e,118.3474368,107.6136376,109.819135,105.8916107,106.6847802,111.2405207,109.8438977,112.0033595,103.9212816,95.79194979,118.0569312,97.286913,76.42103723,68.20133804,63.90659055,52.98042932,58.21495343,60.30815757,58.59271795,41.61288979,104.8603272,71.90214659,106.2354891,72.86225036,56.03534158,100.7514896,76.29492656,75.10481296,95.68602204,78.76686359,102.3469143,108.0338321,88.10173552,54.26666727
Iron and Steel Production,All,CT,CO2e,1297.805144,1180.097654,1204.283272,1161.213803,1169.911747,1219.870273,1204.554822,1228.23561,1098.855365,937.6264316,1044.301315,995.2490122,997.0786916,775.1397007,941.5812021,806.0087664,781.8285888,764.2669493,738.0637369,437.8706095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron and Steel Production,All,DC,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron and Steel Production,All,DE,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.01647061,66.02204438,59.4911244,57.46433053,0,0,0,0,0,0,0,0,0,0
