Source,Subcategory,State,GHG,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Petrochemical Production,All,National,CO2e,20081.51097,21441.92424,22163.43533,22660.92977,24571.87079,25823.00412,26806.73485,28051.51355,28442.014,29977.75407,29543.45339,26257.26689,27243.32165,27062.91204,29520.17399,26888.275,27329.25541,27751.82843,24445.03751,23487.55924,26969.02071,26056.67613,26099.359,25895.15126,25639.89816,27193.292,26786.8132,27337.2416,27206.3,28487.9896,27930.284,30660.284,28792.788,30545.3928
Petrochemical Production,All,AK,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,AL,CO2e,57.50562646,64.8992365,65.64513378,68.88539353,72.5132404,83.4589104,93.25699912,97.83305621,113.0646308,213.9515527,206.4090827,191.4965288,202.5936815,196.9247909,209.9372953,203.3059395,187.0679051,196.8067203,177.4640206,144.4274685,179.0871369,186.6103739,188.2569361,175.0844391,179.4752714,178.9264174,173.437877,181.6706876,188.8057901,181.1218335,143.2509047,164.6562123,167.9493366,0
Petrochemical Production,All,AR,CO2e,115.0112529,118.9819336,120.3494119,126.2898881,145.0264808,146.0530932,145.7140611,152.8641503,141.3307885,139.0685092,134.1659038,124.4727437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,AZ,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,CA,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,CO,CO2e,0,0,0,18.98078441,19.53845699,16.39216762,15.54762322,16.51681832,15.79351914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,CT,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,DC,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochemical Production,All,DE,CO2e,98.43718242,98.99127122,127.0880693,176.9338437,184.6547695,173.1951965,170.4109135,110.172165,153.5425469,165.9055967,159.1508029,139.6400327,143.8430006,145.2403866,84.98892979,114.3342589,96.52102602,157.6431803,139.9664972,46.56660867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
