source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
diesel_rail,480,451,465,478,515,536,546,547,551,572,569,571,567,579,611,617,647,630,585,490,528,555,544,558,583,558,515,532,546,513,447,465,471
diesel_rec_boats,37,37,37,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,37,38,37,36,36,36,35,37,38,39,40,41,38,41,43
jet_fuel_gen_aircraft,531.86,428.22,457.46,444.91,517.05,444.84,539.26,506.09,599.11,516.55,419.42,528.31,548.6,441.16,507.38,477.07,343.72,269.91,356.13,236.01,308.79,251.84,219.85,270.65,236.37,314.12,425.53,398.56,388.74,398.29,223.93,265.37,284.12
jet_fuel_com_aircraft,1561.75,1452.72,1483.14,1529.45,1598.58,1638.37,1686.43,1746.54,1701.23,1853.02,1980.71,1771.32,1724.53,1747.26,1774.8,1886.78,1947.55,1985.52,1809.03,1699.39,1610.73,1629.04,1610.86,1624.19,1637.74,1692.14,1711.01,1819.17,1842.73,1943.62,1297.73,1691.18,1843.35
jet_fuel_mil_aircraft,494.05,490.22,401.24,392.13,356.4,343.93,328.75,299.71,306.2,293.88,298.78,325.18,290.98,292.72,301.22,256.51,231.42,228.35,229.8,197.76,176.92,148.12,153.55,141.23,179.2,174.66,161.25,159.42,153.63,154.07,148.52,157.02,154.87
mogas_nonroad_total,609.2,730.2,550.8,489.8,478.6,605.4,562.3,548.6,558.1,378.1,526.5,628.8,718.6,743.9,833.5,975.7,1233.7,1211.5,1057.5,955.7,846,703.8,663.6,860.7,417.7,949.5,858.8,861.1,647.8,741.9,724.7,696.4,878.7
mogas_rec_boats,201.4,201.8,202.2,201.2,201.4,201.4,202.1,202.2,202.5,202.8,202.5,202.3,201.3,200,197.7,197.7,193.9,190.8,184,181.6,174.5,168.9,165.4,162.5,159.4,159.6,160.7,161.7,162.7,163,150.5,161.7,164.2
diesel_marine_mil,72.4,66.7,68.2,62.2,50.5,46.3,50.9,67.2,71.8,70.9,45.6,44.1,48.3,63.7,73.5,65.3,57.5,61.6,60.6,51.9,62.1,52.9,52.8,42.8,45.9,45.3,43.5,42.5,39.6,38.9,41.1,39.5,36.5
resid_marine_com,715.7,801.51,669.84,533.93,524.47,523.21,536.39,575.2,594.8,489.73,444.07,426.04,448.93,471.82,553.1,581,599.37,607.54,654.61,604.78,619.81,518.37,459.46,379.79,369.18,406.85,450.68,445.32,417.57,336.23,293.99,292.3,325.18
diesel_marine_com,85.55,82.58,77.77,84.46,70.7,79.44,63.26,58.34,87,42.71,40.25,28.3,34.26,40.23,70.05,61.61,61.85,49.69,61.66,59.09,66.07,54.5,38.89,32.66,36.14,68.24,74.03,78.79,94.86,97.34,63.89,60.62,60.28
