msn,eia_description,unit,source_code,sector_code,source_description,sector_description
ABICB,aviation gasoline blending components consumed by the industrial sector,billion btu,AB,IC,aviation gasoline blending components,industrial sector
ARICB,asphalt and road oil consumed by the industrial sector,billion btu,AR,IC,asphalt and road oil,industrial sector
ARTCB,asphalt and road oil total consumption,billion btu,AR,TC,asphalt and road oil,total consumption of all energy-consuming sectors
ARTXB,asphalt and road oil total end-use consumption,billion btu,AR,TX,asphalt and road oil,total end-use consumption
AVACB,aviation gasoline consumed by the transportation sector,billion btu,AV,AC,aviation gasoline,transportation sector
AVTCB,aviation gasoline total consumption,billion btu,AV,TC,aviation gasoline,total consumption of all energy-consuming sectors
AVTXB,aviation gasoline total end-use consumption,billion btu,AV,TX,aviation gasoline,total end-use consumption
B1ABB,renewable diesel refinery and blender net inputs portion to the transportation sector,billion btu,B1,AB,renewable diesel,aviation gasoline blending components consumed by the industrial sector
B1ACB,renewable diesel consumed by the transportation sector,billion btu,B1,AC,renewable diesel,transportation sector
B1AUB,renewable diesel product supplied portion to the transportation sector,billion btu,B1,AU,renewable diesel,NA
B1PRB,renewable diesel production,billion btu,B1,PR,renewable diesel,primary energy production
B1RIB,renewable diesel refinery and blender net inputs,billion btu,B1,RI,renewable diesel,NA
B1TCB,renewable diesel total consumption,billion btu,B1,TC,renewable diesel,total consumption of all energy-consuming sectors
BDABB,biodiesel refinery and blender net inputs portion to the transportation sector,billion btu,BD,AB,biodiesel,aviation gasoline blending components consumed by the industrial sector
BDACB,biodiesel consumed by the transportation sector,billion btu,BD,AC,biodiesel,transportation sector
BDAUB,biodiesel product supplied portion to the transportation sector,billion btu,BD,AU,biodiesel,NA
BDCBB,biodiesel refinery and blender net inputs portion to the commercial sector,billion btu,BD,CB,biodiesel,NA
BDCCB,biodiesel consumed by the commercial sector,billion btu,BD,CC,biodiesel,commercial sector
BDCUB,biodiesel product supplied portion to the commercial sector,billion btu,BD,CU,biodiesel,NA
BDEIB,biodiesel consumed by the electric power sector,billion btu,BD,EI,biodiesel,electric power sector (consumption)
BDEUB,biodiesel product supplied portion to the electric power sector,billion btu,BD,EU,biodiesel,NA
BDFDB,"biodiesel production (total biomass inputs as feedstock), including liquids and losses & co-products",billion btu,BD,FD,biodiesel,feedstocks
BDLCB,energy losses and co-products from the production of biodiesel,billion btu,BD,LC,biodiesel,losses and co-products (biofuels)
BDRBB,biodiesel refinery and blender net inputs portion to the residential sector,billion btu,BD,RB,biodiesel,NA
BDRCB,biodiesel consumed by the residential sector,billion btu,BD,RC,biodiesel,residential sector
BDRIB,biodiesel total refinery and blender net inputs,billion btu,BD,RI,biodiesel,NA
BDRUB,biodiesel product supplied portion to the residential sector,billion btu,BD,RU,biodiesel,NA
BDSAB,"adjusted total biodiesel consumption blended with distillate fuel oil, portion to the transportation sector (2009 through 2011 only)",billion btu,BD,SA,biodiesel,NA
BDSUB,biodiesel product supplied,billion btu,BD,SU,biodiesel,product supplied
BDTCB,biodiesel total consumption,billion btu,BD,TC,biodiesel,total consumption of all energy-consuming sectors
BDTXB,biodiesel total end-use consumption,billion btu,BD,TX,biodiesel,total end-use consumption
BDXUB,biodiesel product supplied portion to the end-use sectors,billion btu,BD,XU,biodiesel,NA
BFLCB,energy losses and co-products from the production of biofuels,billion btu,BF,LC,biofuels,losses and co-products (biofuels)
BFPRB,"biofuels production (total biomass inputs as feedstock), including liquids and losses & co-products",billion btu,BF,PR,biofuels,primary energy production
BFTCB,biofuels total consumption,billion btu,BF,TC,biofuels,total consumption of all energy-consuming sectors
BMTCB,biomass total consumption,billion btu,BM,TC,NA,total consumption of all energy-consuming sectors
BOABB,other biofuels refinery and blender net inputs portion to the transportation sector for the united states,billion btu,BO,AB,other biofuels,aviation gasoline blending components consumed by the industrial sector
BOACB,other biofuels consumed by the transportation sector for the united states,billion btu,BO,AC,other biofuels,transportation sector
BOAUB,other biofuels product supplied portion to the transportation sector for the united states,billion btu,BO,AU,other biofuels,NA
BOPRB,other biofuels total production for the united states,billion btu,BO,PR,other biofuels,primary energy production
BORIB,other biofuels refinery and blender net inputs for the united states,billion btu,BO,RI,other biofuels,NA
BOTCB,other biofuels total consumption for the united states,billion btu,BO,TC,other biofuels,total consumption of all energy-consuming sectors
BQICB,normal butane consumed by the industrial sector,billion btu,BQ,IC,normal butane,industrial sector
BQTCB,normal butane total consumption,billion btu,BQ,TC,normal butane,total consumption of all energy-consuming sectors
BXSUB,total biofuels (excluding fuel ethanol) product supplied,billion btu,BX,SU,total biofuels (excluding fuel ethanol),product supplied
BYICB,butylene from refineries consumed by the industrial sector,billion btu,BY,IC,butylene,industrial sector
BYTCB,butylene from refineries total consumption,billion btu,BY,TC,butylene,total consumption of all energy-consuming sectors
CCEXB,coal coke exported from the united states,billion btu,CC,EX,coal coke,exports
CCIMB,coal coke imported into the united states,billion btu,CC,IM,coal coke,imports
CCNIB,coal coke net imports into the united states,billion btu,CC,NI,coal coke,net imports
CLACB,coal consumed by the transportation sector,billion btu,CL,AC,coal,transportation sector
CLCCB,coal consumed by the commercial sector,billion btu,CL,CC,coal,commercial sector
CLEIB,coal consumed by the electric power sector,billion btu,CL,EI,coal,electric power sector (consumption)
CLICB,coal consumed by the industrial sector,billion btu,CL,IC,coal,industrial sector
CLISB,coal consumed by the industrial sector excluding refinery fuel,billion btu,CL,IS,coal,industrial sector adjusted consumption
CLKCB,coal consumed at coke plants (coking coal),billion btu,CL,KC,coal,coke plants (coal only)
CLOCB,coal consumed by industrial users other than coke plants,billion btu,CL,OC,coal,"industrial consumption, excluding coke plants"
CLOSB,coal consumed by the industrial sector other than coke plants excluding refinery fuel,billion btu,CL,OS,coal,NA
CLPRB,coal production,billion btu,CL,PR,coal,primary energy production
CLRCB,coal consumed by the residential sector,billion btu,CL,RC,coal,residential sector
CLRFB,coal consumed as refinery fuel,billion btu,CL,RF,coal,refinery fuel
CLSCB,coal total consumption adjusted for process fuel,billion btu,CL,SC,coal,"total adjusted consumption, all sectors"
CLTCB,coal total consumption,billion btu,CL,TC,coal,total consumption of all energy-consuming sectors
CLTXB,coal total end-use consumption,billion btu,CL,TX,coal,total end-use consumption
COICB,crude oil consumed by the industrial sector,billion btu,CO,IC,crude oil,industrial sector
DAACB,"distillate fuel oil, biodiesel, and renewable diesel consumed by the transportation sector",billion btu,DA,AC,NA,transportation sector
DACCB,"distillate fuel oil, biodiesel, and renewable diesel consumed by the commercial sector",billion btu,DA,CC,NA,commercial sector
DAEIB,"distillate fuel oil, biodiesel, and renewable diesel consumed by the electric power sector",billion btu,DA,EI,NA,electric power sector (consumption)
DAICB,"distillate fuel oil, biodiesel, and renewable diesel consumed by the industrial sector",billion btu,DA,IC,NA,industrial sector
DARCB,"distillate fuel oil, biodiesel, and renewable diesel consumed by the residential sector",billion btu,DA,RC,NA,residential sector
DATCB,"total distillate fuel oil, biodiesel, and renewable diesel consumption",billion btu,DA,TC,NA,total consumption of all energy-consuming sectors
DFACB,distillate fuel oil consumed by the transportation sector,billion btu,DF,AC,distillate fuel oil,transportation sector
DFASB,distillate fuel oil consumed by the transportation sector including biofuels product supplied,billion btu,DF,AS,distillate fuel oil,transportation sector adjusted consumption
DFCCB,distillate fuel oil consumed by the commercial sector,billion btu,DF,CC,distillate fuel oil,commercial sector
DFCSB,distillate fuel oil consumed by the commercial sector including biofuels product supplied,billion btu,DF,CS,distillate fuel oil,commercial sector adjusted consumption
DFEIB,distillate fuel oil consumed by the electric power sector,billion btu,DF,EI,distillate fuel oil,electric power sector (consumption)
DFICB,distillate fuel oil consumed by the industrial sector,billion btu,DF,IC,distillate fuel oil,industrial sector
DFISB,distillate fuel oil consumed by the industrial sector excluding refinery fuel,billion btu,DF,IS,distillate fuel oil,industrial sector adjusted consumption
DFRCB,distillate fuel oil consumed by the residential sector,billion btu,DF,RC,distillate fuel oil,residential sector
DFRFB,distillate fuel oil consumed as refinery fuel,billion btu,DF,RF,distillate fuel oil,refinery fuel
DFRSB,distillate fuel oil consumed by the residential sector including biofuels product supplied,billion btu,DF,RS,distillate fuel oil,residential sector adjusted consumption
DFSCB,distillate fuel oil total consumption adjusted for process fuel,billion btu,DF,SC,distillate fuel oil,"total adjusted consumption, all sectors"
DFTCB,distillate fuel oil total consumption,billion btu,DF,TC,distillate fuel oil,total consumption of all energy-consuming sectors
DFTXB,distillate fuel oil total end-use consumption,billion btu,DF,TX,distillate fuel oil,total end-use consumption
DKEIB,distillate fuel oil (including kerosene-type jet fuel before 2001) consumed by the electric power sector,billion btu,DK,EI,distillate fuel oil,electric power sector (consumption)
DMACB,"distillate fuel oil, excluding biodiesel and renewable diesel, consumed by the transportation sector",billion btu,DM,AC,NA,transportation sector
DMCCB,"distillate fuel oil, excluding biofuels, consumed by the commercial sector",billion btu,DM,CC,NA,commercial sector
DMEIB,"distillate fuel oil, excluding biofuels, consumed by the electric power sector",billion btu,DM,EI,NA,electric power sector (consumption)
DMICB,"distillate fuel oil, excluding biofuels, consumed by the industrial sector",billion btu,DM,IC,NA,industrial sector
DMRCB,"distillate fuel oil, excluding biofuels, consumed by the residential sector",billion btu,DM,RC,NA,residential sector
DMTCB,"distillate fuel oil, excluding biodiesel and renewable diesel, total consumption",billion btu,DM,TC,NA,total consumption of all energy-consuming sectors
ELEXB,electricity exported from the united states,billion btu,EL,EX,electricity,exports
ELIMB,electricity imported into the united states,billion btu,EL,IM,electricity,imports
