Source,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Coking Coal,industrial sector,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Other Coal,industrial sector,0.6,0.58,0.59,0.63,0.62,0.63,0.64,0.62,0.61,0.62,0.62,0.61,0.62,0.61,0.62,0.61,0.62,0.65,0.64,0.67,0.7,0.69,0.7,0.66,0.68,0.67,0.68,0.66,0.64,0.67,0.69,0.65,0.67,
Natural Gas,industrial sector,0.6,0.58,0.59,0.63,0.62,0.63,0.64,0.62,0.61,0.62,0.62,0.61,0.62,0.61,0.62,0.61,0.62,0.65,0.64,0.67,0.7,0.69,0.7,0.66,0.68,0.67,0.68,0.66,0.64,0.67,0.69,0.65,0.67,
Asphalt & Road Oil,industrial sector,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hydrocarbon Gas Liquids,industrial sector,0.6,0.58,0.59,0.63,0.62,0.63,0.64,0.62,0.61,0.62,0.62,0.61,0.62,0.61,0.62,0.61,0.62,0.65,0.64,0.67,0.7,0.69,0.7,0.66,0.68,0.67,0.68,0.66,0.64,0.67,0.69,0.65,0.67,
Lubricants ,industrial sector,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
Pentanes Plus,industrial sector,0.6,0.58,0.59,0.63,0.62,0.63,0.64,0.62,0.61,0.62,0.62,0.61,0.62,0.61,0.62,0.61,0.62,0.65,0.64,0.67,0.7,0.69,0.7,0.66,0.68,0.67,0.68,0.66,0.64,0.67,0.69,0.65,0.67,
Naphtha,industrial sector,0.6,0.58,0.59,0.63,0.62,0.63,0.64,0.62,0.61,0.62,0.62,0.61,0.62,0.61,0.62,0.61,0.62,0.65,0.64,0.67,0.7,0.69,0.7,0.66,0.68,0.67,0.68,0.66,0.64,0.67,0.69,0.65,0.67,
Other Oils,industrial sector,0.6,0.58,0.59,0.63,0.62,0.63,0.64,0.62,0.61,0.62,0.62,0.61,0.62,0.61,0.62,0.61,0.62,0.65,0.64,0.67,0.7,0.69,0.7,0.66,0.68,0.67,0.68,0.66,0.64,0.67,0.69,0.65,0.67,
Still Gas,industrial sector,0.6,0.58,0.59,0.63,0.62,0.63,0.64,0.62,0.61,0.62,0.62,0.61,0.62,0.61,0.62,0.61,0.62,0.65,0.64,0.67,0.7,0.69,0.7,0.66,0.68,0.67,0.68,0.66,0.64,0.67,0.69,0.65,0.67,
Petroleum Coke,industrial sector,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Special Naphtha,industrial sector,0.6,0.58,0.59,0.63,0.62,0.63,0.64,0.62,0.61,0.62,0.62,0.61,0.62,0.61,0.62,0.61,0.62,0.65,0.64,0.67,0.7,0.69,0.7,0.66,0.68,0.67,0.68,0.66,0.64,0.67,0.69,0.65,0.67,
Distillate Fuel Oil,industrial sector,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Waxes,industrial sector,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
Miscellaneous Products,industrial sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lubricants,transportation sector,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
