source_description,sector_description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
coking coal,industrial sector,0,0,0,0.990051915,8.917304185,37.76336139,24.07737652,0,10.91131188,40.07727003,53.54370907,24.76439499,40.29795286,51.88865766,167.7675714,80.44112991,62.87465486,2.320314918,29.16020742,6.38491434,64.75700411,60.84118509,132.4827914,119.9063915,49.10636498,122.3513983,89.63525398,113.0030864,124.6775341,112.9933479,79.40654485,77.48934098,46.36116435,65.40749844
other coal,industrial sector,7.610742237,7.849701152,8.823212574,9.256552246,10.1359534,10.47308271,10.6225876,10.36151432,9.669458453,10.28914951,11.50624297,10.52704194,11.26565072,11.14620251,11.14298307,11.0365044,11.02023181,11.02896399,11.02919774,11.0075521,9.552765908,9.545533617,9.525895169,9.529551073,9.522158894,9.500724075,9.489622175,9.480637369,9.472864959,9.476437737,9.455617646,9.46724394,9.464044692,9.458134306
Natural Gas,industrial sector,305.91,301.052,318.9226667,335.8133333,353.976,371.00375,388.7195,406.43525,426.629,413.513,401.679,391.79175,380.73,345.28025,306.5595,270.36975,233.356,252.642,272.155,291.1,309.969,314.0095,319.2875,324.591,330.56,431.808,531.968,631.104,730.752,732.16,731.456,731.456,730.752,729.344
Asphalt & Road Oil,industrial sector,1170.193,1076.535,1102.22,1149.02,1172.917,1178.175,1175.932,1223.566,1262.552,1324.413,1275.678,1256.865,1239.957,1219.538,1303.848,1323.238,1261.166,1197.039,1011.971,873.083,877.768,859.489,826.697,783.347,792.636,831.66,853.366,849.182,792.763,843.883,832.273,898.085,916.134,891.758
hydrocarbon gas liquids,industrial sector,1219.597261,1350.69884,1392.740015,1331.700563,1525.478558,1546.152064,1600.428678,1655.685114,1671.274159,1805.609319,1756.171637,1592.900165,1718.436131,1637.2478,1708.056788,1602.497156,1684.139006,1677.942463,1487.200487,1612.370005,1853.021098,1919.905635,2066.420913,2222.275314,2080.784892,2236.052173,2273.639637,2306.32859,2595.856658,2579.147254,2693.042633,2865.794828,3010.754,3216.811
Lubricants,industrial sector,186.343,166.703,169.96,173.064,180.886,177.78,172.534,182.262,190.802,192.799,189.907,173.997,171.935,158.957,161.04,160.199,156.078,161.177,149.635,134.533,135.879,127.396,118.313,125.091,130.663,142.135,135.148,124.895,121.987,118.313,111.09,113.493,115.008,86.3
Pentanes Plus,industrial sector,125.15811,147.0084,161.27265,166.14213,169.36458,168.96264,177.49578,164.45814,147.00609,182.48769,171.57987,131.58915,111.92181,110.418,111.22188,98.11956,70.05306,89.68113,76.52337,63.76755,77.74998,27.33885,42.21063,47.11014,44.19492,80.23323,56.07987,86.3709,111.84558,166.62954,176.46783,217.11228,0,0
Naphtha,industrial sector,347.800704,298.947072,377.126528,350.59264,398.338944,372.964864,479.310336,536.377088,583.992192,502.07616,613.533184,493.716096,582.55424,612.955904,749.430144,698.66624,628.852096,562.4544,477.1744,471.868672,490.572544,487.318784,453.920512,517.835904,442.605824,428.058368,420.02368,436.177024,447.087616,396.691072,354.60736,354.81728,265.512064,271.8464
Other Oils,industrial sector,753.923925,827.295625,814.515575,844.07745,838.642725,801.013225,729.645325,861.243725,818.6688,811.1429,722.154375,662.45395,632.064925,699.378625,779.48985,707.98215,790.6389,744.091325,647.7633,424.776475,452.52095,388.5275,287.2424,223.918825,247.22465,229.039,222.45675,262.92885,239.0813,234.089275,217.010375,216.893875,127.733961,119.5662159
Still Gas,industrial sector,36.726,40.632,28.542,45.63,35.37,47.904,2.16,12.114,6.204,23.022,16.98,49.266,61.722,59.016,62.856,67.668,57.21,44.22,47.334,133.872,147.7706931,163.56714,160.6196967,166.7456888,164.538171,162.1607941,166.1111575,163.8463693,166.8830078,158.7382304,145.4169799,152.8126852,157.079338,155.792704
Petroleum Coke,industrial sector,123.0633482,105.0613405,171.0135296,110.6702098,128.2886764,120.6107435,118.5905869,87.49982386,150.7641852,215.9866516,98.72277104,174.2864343,145.8105158,122.836835,218.2893579,186.9418187,213.589984,201.1547269,225.1088209,180.6926152,60.95192136,62.40512826,67.7915191,62.40449333,61.36489464,62.52110955,61.24354338,57.02173408,58.86071474,56.43674817,46.24372564,48.06154473,44.97153234,47.65307049
