year,backcast_nonroad_lg_mogas,backcast_nonroad_rec_mogas
1990,2280381389,725907977.6
1991,2287446763,732319920.4
1992,2294512137,738731863.1
1993,2301577511,745143805.9
1994,2308642885,751555748.6
1995,2315708258,757967691.4
1996,2322773632,764379634.1
1997,2329839006,770791576.9
1998,2336904380,777203519.6
1999,2343969754,783615462.4
2000,2355256123,790831887.3
2001,2434671143,789921905
2002,2428802493,792017635.3
2003,2471413579,795011025.3
2004,2522845311,798314029.4
2005,2572178242,800393735.6
2006,2585153382,804283284
2007,2612806922,807214625.3
2008,2572989936,810210924.9
2009,2537307620,812713682.4
2010,2545708934,812541835.1
2011,2532648429,811917156
2012,2558198728,809834403
2013,2583510842,808252178.1
2014,2624268783,806204388.4
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
2021,0,0
2022,0,0
2023,0,0
