Railroad Diesel Use,Class I Rail,Class II and III Rail,Commuter Rail,Intercity (Amtrak)
1990,3134446000,200000000,52681000,73516000
1991,2925970000,200000000,54315000,73516000
1992,3022108000,200000000,54951000,73516000
1993,3111981000,200000000,59766000,73516000
1994,3355802000,225000000,61900000,73516000
1995,3503096000,225000000,63064000,72371000
1996,3600649000,200000000,61888000,71226000
1997,3602793000,205000000,63195000,75656000
1998,3619341000,210000000,69200000,75999000
1999,3749428000,220000000,73005000,79173000
2000,3720107000,220000000,70818000,94968000
2001,3729985000,220000000,72204000,96846000
2002,3751413000,180000000,72847000,84432000
2003,3849229000,180000000,72264000,74621000
2004,4082236000,184000000,71999000,68605000
2005,4119879000,184000000,76714000,65477000
2006,4214459000,309000000,78600000,62463000
2007,4087405000,309000000,80700000,61824000
2008,3911178000,157848697,83500000,63428000
2009,3220059000,157848697,95000000,61704000
2010,3519021351,131200000,93200000,63474000
2011,3710484525,131200000,93900000,63450000
2012,3634024671,131200000,92800000,63058000
2013,3712581992,148000000,98700000,66036000
2014,3867448840,174142467.7,93900000,65711000
2015,3692304956,168260327.9,97410000,62468000
2016,3385235167,166917841,102877970.5,60212000
2017,3495297010,172860323.3,104245000,60076000
2018,3656258365,176707906.7,102650000,60459
2019,3419051533,173369229.5,103718000,62809.765
2020,2958954378,158307883.8,107222000,63172.813
2021,3082038625,169834061.9,102146655,43939.31
2022,3105998966,172292717.8,115353705,54594.38
