sector,source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
commercial sector,coal,124.456,115.505,116.57,117.302,118.119,116.788,121.613,129.391,93.436,102.524,91.895,96.858,89.82,81.963,102.904,96.999,64.789,70.035,80.757,73.353,69.654,61.715,43.552,41.428,40.204,31.119,23.746,20.657,18.721,16.716,14.512,14.915,14.461,11.601
commercial sector,distillate fuel oil,525.4399508,517.7049442,481.7105835,447.197176,446.0391617,417.9856228,436.441504,397.7723815,373.7503721,372.0413765,420.6642486,469.8321621,392.0014321,451.4566238,445.1974065,402.9183691,384.8757402,358.6430705,316.3105334,369.6941519,376.8417376,393.3226771,317.7685958,312.606209,336.1822674,318.2099016,271.0990349,249.6757024,280.4927419,292.8639214,242.1141201,264.139404,288.3924383,268.2071307
commercial sector,kerosene,11.835,12.088,11.124,14.039,19.459,22.102,21.032,24.645,31.15,26.943,29.65,31.403,15.949,18.635,20.494,21.593,15.172,9.175,4.436,4.224,4.822,3.192,1.203,1.018,2.04,1.371,2.077,1.188,1.337,1.839,1.693,1.437,1.304,2.625
commercial sector,lpg,102.4,108.37,107.046,109.389,107.403,108.873,122.553,120.397,117.723,140.345,150.588,142.863,140.981,157.058,152.168,131.556,123.331,121.573,158.181,139.033,140.011,142.509,135.525,151.617,160.473,148.028,150.012,155.673,175.966,182.028,201.045,216.971,201.636,188.648
commercial sector,motor gasoline,152.9604736,161.4511892,101.3083042,40.82771419,32.10218159,33.51129065,42.21763531,58.14546363,58.1296353,27.65507693,74.09438851,48.02414279,65.90759492,84.87119427,68.15548538,88.5710895,119.0737731,170.0590356,135.1357579,138.6365205,111.7659972,78.95749519,66.11088988,92.06117874,52.70641346,468.5532091,410.8024074,403.6621554,279.5440527,336.1021427,332.8959456,313.5046421,438.8296225,397.4667236
commercial sector,natural gas,2679.597,2795.401,2871.186,2920.416,2961.981,3095.989,3226.317,3285.32,3082.975,3115.031,3251.526,3097.262,3212.456,3260.916,3200.972,3073.216,2901.687,3085.052,3228.429,3186.594,3164.678,3216.1,2959.511,3379.793,3571.925,3315.591,3223.517,3272.852,3638.296,3647.286,3278.512,3409.175,3634.857,3454.612
commercial sector,petroleum coke,0,0,0.073,0.155,0.135,0.126,0.114,0.133,0.126,0.12,0.168,0.19,0.244,0.328,0.263,0.264,0.279,0.35,0.287,0.249,0.346,0.182,0.362,0.35,0.525,0.521,0.297,0.496,0.354,0.21,0.112,0.193,0.467,0.108
commercial sector,residual fuel oil    ,229.842,211.928,189.081,172.717,171.946,141.481,137.191,111.242,85.209,73.302,91.584,69.857,79.801,111.119,122.492,115.829,75.262,75.388,71.016,71.28,61.69,53.746,31.396,24.403,7.939,3.972,4.439,3.832,3.106,2.337,2.338,3.163,3.242,2.691
electric power sector,coal,16260.952,16249.709,16465.595,17195.927,17260.875,17466.285,18429.027,18904.538,19215.682,19279.487,20220.171,19613.673,19782.781,20184.743,20305.035,20737.241,20461.883,20807.722,20512.955,18225.332,19133.455,18035.175,15821.248,16450.559,16427.4,14138.25,12996.354,12622.233,12052.957,10181.262,8229.283,9497.672,8885.491,7247.322
electric power sector,distillate fuel oil,96.504,83.64,73.531,86.496,119.963,107.976,109.3,110.514,135.581,139.992,174.665,170.347,127.298,160.789,111.164,114.47,73.388,88.65,72.524,69.574,79.679,63.655,52.431,55.42,82.176,70.388,54.902,54.726,80.617,53.879,44.274,59.771,83.449,52.881
electric power sector,natural gas,3308.538,3377.359,3511.502,3537.501,3977.299,4301.971,3862.449,4125.512,4674.9,4902.148,5293.375,5458.101,5766.812,5246.249,5594.935,6014.548,6375.139,7005.234,6828.924,7022.39,7527.641,7712.205,9286.793,8376.254,8361.681,9926.459,10301.311,9555.207,10921.508,11658.399,11999.767,11582.585,12459.154,13314.099
electric power sector,petroleum coke,30.367,29.329,45.006,78.648,69.717,80.556,79.571,101.558,123.554,112.491,98.641,103.226,175.176,174.667,210.811,231.132,203.043,162.557,146.391,131.842,136.595,138.32,85.054,122.518,118.155,111.716,118.317,97.208,101.482,75.913,87.427,87.94,84.778,58.488
electric power sector,residual fuel oil    ,1162.562,1085.292,872.17,958.645,869,565.973,628.391,714.634,1046.96,958.723,870.834,1002.803,658.71,869.363,879.022,876.462,360.527,396.624,240.421,180.955,154.052,93.065,76.72,77.225,95.138,93.861,70.68,65.788,78.251,58.794,52.696,57.303,75.636,64.14
industrial sector,asphalt & road oil,1170.193,1076.535,1102.22,1149.02,1172.917,1178.175,1175.932,1223.566,1262.552,1324.413,1275.678,1256.865,1239.957,1219.538,1303.848,1323.238,1261.166,1197.039,1011.971,873.083,877.768,859.489,826.697,783.347,792.636,831.66,853.366,849.182,792.763,843.883,832.273,898.085,916.134,891.758
industrial sector,aviation gasoline blending components,0.237256,-0.080768,0.156488,0.146392,6.097984,5.290304,6.951096,9.056112,4.003064,6.395816,3.816288,6.072744,7.516472,7.47104,10.615944,8.324152,0.641096,1.781944,0.095912,-0.802632,-0.242304,0.010096,-0.005048,-0.3786,-0.141344,-0.348312,-0.292784,-0.191824,-1.554784,-1.191328,-0.787488,-0.83292,-0.661288,-0.646144
industrial sector,coal coke,0,0,0,0.990051915,8.917304185,37.76336139,24.07737652,0,10.91131188,40.07727003,53.54370907,24.76439499,40.29795286,51.88865766,167.7675714,80.44112991,62.87465486,2.320314918,29.16020742,6.38491434,64.75700411,60.84118509,132.4827914,119.9063915,49.10636498,122.3513983,89.63525398,113.0030864,124.6775341,112.9933479,79.40654485,77.48934098,46.36116435,65.40749844
industrial sector,crude oil,50.8834,38.947,27.3644,21.1526,18.6818,14.5348,13.7286,4.6226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industrial sector,distillate fuel oil,1105.513852,1057.885484,1035.540847,996.9822706,980.1712523,972.1698278,1053.164198,1061.173839,1035.789644,991.3307576,1011.703437,1189.455754,1056.162708,1063.35985,1146.426807,1135.454686,1199.192525,1169.893178,1103.03233,1001.032544,1107.228118,1238.967761,1134.94961,1149.935917,1285.776869,1032.67508,960.8472318,931.9392642,1087.962323,1078.956617,935.6471417,953.9192756,1041.55128,963.9030087
industrial sector,kerosene,12.274,11.382,9.79,13.053,16.912,15.444,18.301,18.812,22.071,12.84,15.64,23.223,13.808,24.113,28.219,39.076,29.576,13.422,3.83,4.399,7.318,3.615,2.008,1.477,2.829,1.728,2.266,1.115,1.623,1.42,3.023,1.454,1.089,2.193
industrial sector,lpg,1529.326303,1662.542915,1774.584745,1703.870115,1911.182813,1929.459553,1987.131928,2035.41764,1953.941976,2145.680835,2153.04637,1947.469666,2088.493159,1963.430225,2068.813422,1941.334784,2030.245257,2026.896729,1750.339128,1863.969983,2050.697216,2116.683624,2266.378066,2450.003519,2320.203315,2456.603846,2479.843362,2500.057941,2799.823144,2804.253754,2897.322519,3083.495834,3240.309527,3452.101017
industrial sector,lubricants,186.343,166.703,169.96,173.064,180.886,177.78,172.534,182.262,190.802,192.799,189.907,173.997,171.935,158.957,161.04,160.199,156.078,161.177,149.635,134.533,135.879,127.396,118.313,125.091,130.663,142.135,135.148,124.895,121.987,118.313,111.09,113.493,115.008,86.3
industrial sector,miscellaneous petroleum products,137.834676,152.626068,100.062144,94.718232,105.852348,97.123572,89.032356,97.74954,118.986084,111.909168,119.206332,124.9038,134.1774,125.964468,113.421924,112.7912786,136.0328735,133.4738236,142.0289166,151.8256346,158.6999282,164.7415627,161.5824471,171.1615311,182.7404379,188.9261088,191.3413136,198.8103232,197.9677877,180.1543613,170.665492,170.8042541,183.3885003,176.2389488
industrial sector,motor gasoline blending components,53.696166,-25.918302,75.685224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industrial sector,motor gasoline,254.7798181,366.9062395,247.2611101,247.7467873,245.0821391,370.4528446,318.0605784,288.2487981,297.4812844,147.600557,249.9047098,378.5155465,451.4048849,459.0935818,567.5738593,689.4725035,920.6941866,850.6924558,738.3585183,635.5008268,559.7399823,455.9186454,432.1581281,606.1723052,205.645634,321.37593,287.2497745,295.7313808,205.5616882,242.7476742,241.2730401,221.1780877,275.6572375,249.6755348
industrial sector,"petrochemical feedstocks, naphtha less than 401 degrees F",347.800704,298.947072,377.126528,350.59264,398.338944,372.964864,479.310336,536.377088,583.992192,502.07616,613.533184,493.716096,582.55424,612.955904,749.430144,698.66624,628.852096,562.4544,477.1744,471.868672,490.572544,487.318784,453.920512,517.835904,442.605824,428.058368,420.02368,436.177024,447.087616,396.691072,354.60736,354.81728,265.512064,271.8464
industrial sector,natural gas,7993.138154,8106.186539,8420.583143,8576.593606,8619.798577,9071.529092,9386.366091,9416.508227,9227.073341,8817.215753,9038.294629,8325.46903,8448.569685,8174.946676,8204.24471,7585.051792,7541.458307,7738.8395,7790.073211,7344.627521,7979.884838,8172.010072,8495.754398,8828.519729,9127.505389,9119.932101,9302.055791,9477.628135,10056.05862,10213.95364,10015.04498,10204.7579,10359.43034,10457.59132
industrial sector,coal,1675.754701,1637.978742,1593.936268,1624.357961,1634.906129,1567.498425,1494.774854,1495.897935,1509.056678,1410.967605,1373.08019,1394.50252,1281.570736,1286.558695,1296.82239,1257.005311,1231.270709,1181.479124,1131.848683,929.1726129,1002.573594,915.3000055,832.1404461,846.3388873,839.9083999,741.7857549,671.5686801,624.0578408,578.0111585,526.5879611,457.9677901,459.1623191,459.0966041,390.390529
industrial sector,"petrochemical feedstocks, other oils equal to or greater than 401 degrees F",753.923925,827.295625,814.515575,844.07745,838.642725,801.013225,729.645325,861.243725,818.6688,811.1429,722.154375,662.45395,632.064925,699.378625,779.48985,707.98215,790.6389,744.091325,647.7633,424.776475,452.52095,388.5275,287.2424,223.918825,247.22465,229.039,222.45675,262.92885,239.0813,234.089275,217.010375,216.893875,127.733961,119.5662159
industrial sector,pentanes plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industrial sector,petroleum coke,714.215,692.649,797.706,725.296,723.158,721.294,756.838,727.41,858.485,935.764,796.069,857.575,842.082,824.688,936.764,893.533,937.85,909.536,870.15,804.675,693.985,662.696,716.747,663.261,653.464,663.286,652.688,610.071,628.623,602.325,495.168,514.919,484.698,510.112
industrial sector,residual fuel oil    ,364.1479343,270.890686,328.057106,391.199526,368.358946,284.6632095,281.661473,235.5617365,173.258,154.0335,190.342,156.0995,146.098,171.71475,195.2675,223.23225,176.394,122.51025,115.7595,43.69275,25.896,50.0505,0,0,0,0,2.119,2.7845,0,0,0,1.831,2.961,0
industrial sector,special naphtha,107.090688,87.987968,104.5664,104.582144,81.050112,70.82176,74.542592,72.26496,107.274368,145.39584,97.37664,78.489088,102.38848,80.483328,51.042048,62.51223949,70.05048768,78.03761306,84.88506176,46.17003046,26.10245517,22.61417779,14.71516634,100.016384,106.119808,99.26592,93.577088,100.336512,92.04992,95.61856,86.550016,81.228544,89.153024,89.24224
industrial sector,still gas,1473.21,1426.554,1446.96,1430.19,1439.406,1417.452,1437.09,1447.104,1437.234,1437.12,1448.19,1466.592,1461.102,1536.306,1546.134,1497.084,1553.358,1526.856,1470.3,1455.018,1471.812,1486.974,1480.818,1537.296,1516.944,1495.026,1604.700167,1582.821407,1612.156549,1533.474744,1404.786141,1476.231609,1517.449181,1505.019782
industrial sector,unfinished oils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industrial sector,waxes,33.299518,35.126728,37.258473,40.026973,40.58621,40.591747,48.664693,43.7423,42.369124,37.435657,33.083575,36.333794,32.16997,31.045959,30.769109,31.36745383,26.14573061,21.88657608,19.14223955,12.22266726,17.08272472,15.07495315,15.29109548,16.4887818,14.78347993,12.35738801,12.84910683,10.16164083,12.41172259,10.42369042,9.205389851,11.791191,13.03835042,9.044916517
residential sector,coal,31.114,25.355,25.589,25.749,20.845,17.451,16.584,15.992,11.548,13.981,11.358,11.971,12.248,12.247,11.434,8.435,6.408,7.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
residential sector,distillate fuel oil,959.1615404,930.9747159,931.4095551,883.2642409,854.6066599,789.7018536,836.885324,783.726429,672.7421199,702.3985368,775.2453985,839.4797086,758.9917614,848.2952624,874.4464701,769.0998645,683.0489576,678.2783906,617.7837886,544.7201495,540.9124798,525.1989037,431.5509758,447.1906153,502.5794064,487.2949567,361.3479073,334.5321566,440.6887247,421.160534,357.8100668,381.2365328,416.2404235,387.1077802
residential sector,kerosene,63.909,72.34,65.004,75.614,64.923,74.295,88.781,92.883,108.317,111.164,94.572,95.085,59.937,70.301,84.759,83.804,66.351,43.918,21.263,27.693,29.105,18.526,7.737,8.26,13.748,10.117,13.65,8.412,8.241,10.754,10.836,9.409,8.472,17.053
residential sector,lpg,352.597,378.638,369.891,390.08,384.176,395.323,469.345,455.39,424.439,526.669,555.615,526.367,537.848,545.19,512.413,513.52,446.105,484.281,553.444,547.781,529.834,492.612,395.556,463.473,489.522,445.709,429.888,430.701,506.547,563.405,494.934,484.13,504.304,471.821
residential sector,natural gas,4486.553,4667.223,4804.581,5058.373,4959.84,4954.189,5354.389,5092.919,4646.087,4834.899,5104.593,4889.018,4994.994,5209.428,4980.831,4946.354,4475.913,4835.44,5010.061,4883.112,4878.111,4804.579,4242.094,5022.942,5242.483,4776.927,4505.844,4563.472,5174.394,5208.032,4845.681,4888.885,5139.938,4676.551
