sector_code,source_code,type,msn,msn_description,unit
AC,AV,B,AVACB,aviation gasoline consumed by the transportation sector,billion btu
AC,B1,B,B1ACB,renewable diesel consumed by the transportation sector,billion btu
AC,BD,B,BDACB,biodiesel consumed by the transportation sector,billion btu
AC,BO,B,BOACB,"other biofuels consumed by the transportation sector, united states only",billion btu
AC,CL,B,CLACB,coal consumed by the transportation sector,billion btu
AC,DF,B,DFACB,distillate fuel oil consumed by the transportation sector,billion btu
AC,EM,B,EMACB,"fuel ethanol, excluding denaturant, consumed by the transportation sector   ",billion btu
AC,ES,B,ESACB,"electricity consumed by (i.e., sold to) the transportation sector",billion btu
AC,HL,B,HLACB,hydrocarbon gas liquids consumed by the transportation sector,billion btu
AC,JF,B,JFACB,jet fuel consumed by the transportation sector,billion btu
AC,LO,B,LOACB,the transportation sector's share of electrical system energy losses,billion btu
AC,LU,B,LUACB,lubricants consumed by the transportation sector,billion btu
AC,MG,B,MGACB,motor gasoline consumed by the transportation sector,billion btu
AC,NG,B,NGACB,natural gas consumed by the transportation sector ,billion btu
AC,OP,B,OPACB,other petroleum products consumed by the transportation sector,billion btu
AC,PA,B,PAACB,all petroleum products consumed by the transportation sector,billion btu
AC,PQ,B,PQACB,propane consumed by the transportation sector,billion btu
AC,RF,B,RFACB,residual fuel oil consumed by the transportation sector,billion btu
AC,TE,B,TEACB,total energy consumed by the transportation sector,billion btu
AC,TN,B,TNACB,total energy consumed by the transportation sector excluding the sector's share of electrical system energy losses,billion btu
AP,TE,B,TEAPB,total energy consumption per capita in the transportation sector,million btu
AS,DF,B,DFASB,distillate fuel oil consumed by the transportation sector including biofuels product supplied,billion btu
AS,NG,B,NGASB,natural gas consumed by the transportation sector adjusted for process fuel,billion btu
AS,PA,B,PAASB,all petroleum products consumed by the transportation sector excluding other biofuels product supplied for the united states,billion btu
AS,PE,B,PEASB,"primary energy consumed by the transportation sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",billion btu
AS,TN,B,TNASB,"total net energy consumed by the transportation sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",billion btu
CC,CL,B,CLCCB,coal consumed by the commercial sector,billion btu
CC,DF,B,DFCCB,distillate fuel oil consumed by the commercial sector,billion btu
CC,EM,B,EMCCB,"fuel ethanol, excluding denaturant, consumed by the commercial sector ",billion btu
CC,ES,B,ESCCB,"electricity consumed by (i.e., sold to) the commercial sector",billion btu
CC,GE,B,GECCB,geothermal energy consumed by the commercial sector,billion btu
CC,HL,B,HLCCB,hydrocarbon gas liquids consumed by the commercial sector,billion btu
CC,HY,B,HYCCB,hydropower consumed by the commercial sector,billion btu
CC,KS,B,KSCCB,kerosene consumed by the commercial sector,billion btu
CC,LO,B,LOCCB,the commercial sector's share of electrical system energy losses,billion btu
CC,MG,B,MGCCB,motor gasoline consumed by the commercial sector,billion btu
CC,NG,B,NGCCB,natural gas consumed by (delivered to) the commercial sector,billion btu
CC,PA,B,PACCB,all petroleum products consumed by the commercial sector,billion btu
CC,PC,B,PCCCB,petroleum coke consumed by the commercial sector,billion btu
CC,PQ,B,PQCCB,propane consumed by the commercial sector,billion btu
CC,RF,B,RFCCB,residual fuel oil consumed by the commercial sector,billion btu
CC,SF,B,SFCCB,supplemental gaseous fuels consumed by the commercial sector,billion btu
CC,SO,B,SOCCB,solar energy consumed by the commercial sector,billion btu
CC,TE,B,TECCB,total energy consumed by the commercial sector,billion btu
CC,TN,B,TNCCB,total energy consumed by the commercial sector excluding the sector's share of electrical system energy losses,billion btu
CC,WD,B,WDCCB,wood energy consumed by the commercial sector,billion btu
CC,WS,B,WSCCB,waste energy consumed by the commercial sector,billion btu
CC,WW,B,WWCCB,wood and waste energy consumed in the commercial sector,billion btu
CC,WY,B,WYCCB,wind energy consumed by the commercial sector,billion btu
CP,TE,B,TECPB,total energy consumption per capita in the commercial sector,million btu
CS,PE,B,PECSB,"primary energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",billion btu
CS,TN,B,TNCSB,"total net energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",billion btu
CS,WW,B,WWCSB,wood and waste energy consumed in the commercial sector at a cost,billion btu
CX,WW,B,WWCXB,wood and waste energy consumed in the commercial sector at no cost,billion btu
EG,GE,B,GEEGB,geothermal energy consumed for electricity generation by the electric power sector,billion btu
EG,HY,B,HYEGB,hydropower consumed for electricity generation by the electric power sector,billion btu
EG,NU,B,NUEGB,nuclear energy consumed for electricity generation by the electric power sector,billion btu
EG,SO,B,SOEGB,solar energy consumed for electricity generation by the electric power sector,billion btu
EG,WY,B,WYEGB,wind energy consumed for electricity generation by the electric power sector,billion btu
EI,CL,B,CLEIB,coal consumed by the electric power sector,billion btu
EI,DF,B,DFEIB,distillate fuel oil consumed by the electric power sector,billion btu
EI,DK,B,DKEIB,distillate fuel oil (including other light fuel oil before 2001) consumed by the electric power sector,billion btu
EI,NG,B,NGEIB,natural gas consumed by the electric power sector,billion btu
EI,PA,B,PAEIB,all petroleum products consumed by the electric power sector,billion btu
EI,PC,B,PCEIB,petroleum coke consumed by the electric power sector,billion btu
EI,RF,B,RFEIB,residual fuel oil consumed by the electric power sector,billion btu
EI,SF,B,SFEIB,supplemental gaseous fuels consumed by the electric power sector,billion btu
EI,TE,B,TEEIB,total energy consumed by the electric power sector,billion btu
EI,WD,B,WDEIB,wood energy consumed by the electric power sector,billion btu
EI,WS,B,WSEIB,waste energy consumed by the electric power sector,billion btu
EI,WW,B,WWEIB,wood and waste energy consumed by the electric power sector,billion btu
ET,NU,B,NUETB,"nuclear energy consumed for electricity generation, total",billion btu
EX,CC,B,CCEXB,coal coke exported from the united states ,billion btu
EX,EL,B,ELEXB,electricity exported from the united states,billion btu
EX,WD,B,WDEXB,densified biomass exports,billion btu
FD,BD,B,BDFDB,biomass inputs (feedstock) to the production of biodiesel,billion btu
FD,BF,B,BFFDB,biomass inputs (feedstock) to the production of biofuels,billion btu
FD,EM,B,EMFDB,biomass inputs (feedstock) to the production of fuel ethanol,billion btu
IC,AB,B,ABICB,aviation gasoline blending components consumed by the industrial sector,billion btu
IC,AR,B,ARICB,asphalt and road oil consumed by the industrial sector,billion btu
IC,BQ,B,BQICB,normal butane consumed by the industrial sector,billion btu
IC,BY,B,BYICB,butylene from refineries consumed by the industrial sector,billion btu
IC,CL,B,CLICB,coal consumed by the industrial sector,billion btu
IC,CO,B,COICB,crude oil consumed by the industrial sector,billion btu
IC,DF,B,DFICB,distillate fuel oil consumed by the industrial sector,billion btu
IC,EM,B,EMICB,"fuel ethanol, excluding denaturant, consumed by the industrial sector ",billion btu
IC,EQ,B,EQICB,ethane consumed by the industrial sector,billion btu
IC,ES,B,ESICB,"electricity consumed by (i.e., sold to) the industrial sector",billion btu
IC,EY,B,EYICB,ethylene from refineries consumed by the industrial sector,billion btu
IC,FN,B,FNICB,"petrochemical feedstocks, naphtha, less than 401° f, consumed by the industrial sector",billion btu
IC,FO,B,FOICB,"petrochemical feedstocks, other oils equal to or greater than 401° f, consumed by the industrial sector",billion btu
IC,FS,B,FSICB,"petrochemical feedstocks, still gas, consumed by the industrial sector (through 1985)",billion btu
IC,GE,B,GEICB,geothermal energy consumed by the industrial sector,billion btu
IC,HL,B,HLICB,hydrocarbon gas liquids consumed by the industrial sector,billion btu
IC,HY,B,HYICB,hydropower consumed by the industrial sector,billion btu
IC,IQ,B,IQICB,isobutane consumed by the industrial sector,billion btu
IC,IY,B,IYICB,isobutylene from refineries consumed by the industrial sector,billion btu
IC,KS,B,KSICB,kerosene consumed by the industrial sector,billion btu
IC,LO,B,LOICB,the industrial sector's share of electrical system energy losses,billion btu
IC,LU,B,LUICB,lubricants consumed by the industrial sector,billion btu
IC,MB,B,MBICB,motor gasoline blending components consumed by the industrial sector,billion btu
IC,MG,B,MGICB,motor gasoline consumed by the industrial sector,billion btu
IC,MS,B,MSICB,miscellaneous petroleum products consumed by the industrial sector,billion btu
IC,NA,B,NAICB,natural gasoline consumed by the industrial sector (through 1983),billion btu
IC,NG,B,NGICB,natural gas consumed by the industrial sector,billion btu
IC,OH,B,OHICB,other hydrocarbon gas liquids (other than propane) consumed by the industrial sector,billion btu
IC,OP,B,OPICB,other petroleum products consumed by the industrial sector,billion btu
IC,P1,B,P1ICB,"asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector",billion btu
IC,PA,B,PAICB,all petroleum products consumed by the industrial sector,billion btu
IC,PC,B,PCICB,petroleum coke consumed by the industrial sector,billion btu
IC,PL,B,PLICB,plant condensate consumed by the industrial sector (through 1983),billion btu
IC,PP,B,PPICB,natural gasoline (pentanes plus) consumed by the industrial sector,billion btu
IC,PQ,B,PQICB,propane consumed by the industrial sector,billion btu
IC,PY,B,PYICB,propylene from refineries consumed by the industrial sector,billion btu
IC,RF,B,RFICB,residual fuel oil consumed by the industrial sector,billion btu
IC,SG,B,SGICB,still gas consumed by the industrial sector,billion btu
IC,SN,B,SNICB,special naphthas consumed by the industrial sector,billion btu
IC,SO,B,SOICB,solar energy consumed by the industrial sector,billion btu
IC,TE,B,TEICB,total energy consumed by the industrial sector,billion btu
IC,TN,B,TNICB,total energy consumed by the industrial sector excluding the sector's share of electrical system energy losses,billion btu
IC,UO,B,UOICB,unfinished oils consumed by the industrial sector,billion btu
IC,US,B,USICB,unfractionated streams consumed by the industrial sector (through 1983),billion btu
IC,WD,B,WDICB,wood energy consumed by the industrial sector,billion btu
IC,WS,B,WSICB,waste energy consumed by the industrial sector,billion btu
IC,WW,B,WWICB,wood and waste energy consumed in the industrial sector,billion btu
IC,WX,B,WXICB,waxes consumed by the industrial sector,billion btu
IC,WY,B,WYICB,wind energy consumed by the industrial sector,billion btu
IM,CC,B,CCIMB,coal coke imported into the united states,billion btu
IM,EL,B,ELIMB,electricity imported into the united states,billion btu
IN,SF,B,SFINB,supplemental gaseous fuels consumed by the industrial sector,billion btu
IP,TE,B,TEIPB,total energy consumption per capita in the industrial sector,million btu
IS,CL,B,CLISB,coal consumed by the industrial sector excluding refinery fuel,billion btu
IS,DF,B,DFISB,distillate fuel oil consumed by the industrial sector excluding refinery fuel,billion btu
IS,EL,B,ELISB,net interstate flow of electricity and associated losses (negative indicates flow out of state),billion btu
IS,ES,B,ESISB,electricity sales to the industrial sector excluding refinery use,billion btu
IS,HL,B,HLISB,hydrocarbon gas liquids consumed by the industrial sector adjusted for processed fuel,billion btu
IS,NG,B,NGISB,natural gas consumed by the industrial sector excluding refinery fuel,billion btu
IS,OP,B,OPISB,other petroleum products consumed by the industrial sector excluding refinery fuel and intermediate products,billion btu
IS,P1,B,P1ISB,"asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector excluding refinery fuel and intermediate products",billion btu
IS,PA,B,PAISB,all petroleum products consumed by the industrial sector excluding process fuel and intermediate products,billion btu
IS,PC,B,PCISB,petroleum coke consumed by the industrial sector excluding refinery fuel,billion btu
IS,PE,B,PEISB,"primary energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",billion btu
IS,PQ,B,PQISB,propane consumed in the industrial sector excluding refinery fuel,billion btu
IS,RF,B,RFISB,residual fuel oil consumed by the industrial sector excluding refinery fuel,billion btu
IS,TN,B,TNISB,"total net energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",billion btu
IS,WW,B,WWISB,wood and waste energy consumed in the industrial sector at a cost,billion btu
IX,WW,B,WWIXB,wood and waste energy consumed in the industrial sector at no cost,billion btu
KC,CL,B,CLKCB,coal consumed at coke plants (coking coal),billion btu
LC,BD,B,BDLCB,energy losses and co-products from the production of biodiesel,billion btu
LC,BF,B,BFLCB,energy losses and co-products from the production of biofuels,billion btu
LC,EM,B,EMLCB,energy losses and co-products from the production of fuel ethanol,billion btu
LP,NG,B,NGLPB,natural gas consumed as lease and plant fuel,billion btu
MP,NG,B,NGMPB,natural gas marketed production,billion btu
NI,CC,B,CCNIB,coal coke net imports into the united states,billion btu
NI,EL,B,ELNIB,net imports of electricity into the united states,billion btu
OC,CL,B,CLOCB,coal consumed by industrial users other than coke plants,billion btu
