state,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AK,2.7182041158171812,2.6150095716678634,2.286731275424743,1.9031167743479303,2.2396207226609235,1.915081359176837,2.188023450586265,1.832077051926298,1.9270459440057432,1.820112467097392,1.8597451543431445,1.8320770519262983,1.7131789901890404
AL,217.28732950466622,221.78601340033504,221.43006700167507,225.05832735104093,223.333183776023,217.43763460157936,216.8558566642738,223.82373175400812,223.02060899736782,217.94014716439344,211.46282005264422,208.69301866475237,284.9246231155779
AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,824.6074120603016,842.090661641541,857.4808566642739,857.483847810481,862.4095178272314,833.826872457526,807.1780031107921,733.5180366116297,686.0485463029434,680.971823402728,646.1638549892319,660.9939578846615,497.0245573103614
CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT,2197.83515793252,2230.7841289782245,2178.391959798995,2197.977985163915,2061.104630294329,2091.279313232831,1991.1723797559225,1805.0094221105528,1887.532154821728,1913.4175340990669,1846.041217994736,1627.2029791816226,1442.8362048336924
DC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FL,5546.821907154823,5356.395070591051,5296.705252452741,5308.214435271597,5484.9642558028245,5875.503260349366,5886.7133285475,5884.137203876526,5800.989321608041,5800.716379516632,5807.359715242881,5589.217665709501,4920.22762622637
GA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HI,511.4112227805696,530.5971823402729,722.3401232352238,605.9748145489352,598.817001675042,619.8828966259871,615.1703457765016,748.2688741325677,703.9131670256043,621.3508016271836,599.0899437664514,655.1537449150514,596.8383584589615
IA,36.172678870543194,33.91810241684614,30.666726489590815,30.92770399617134,31.632118927973206,30.22328906436947,26.19496290978703,21.018784398181385,16.160415171093565,29.77985163914812,32.858488872936114,40.226429767887055,38.23283082077052
ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL,0,0.011964584828906439,0,0,0,0,0,0,0,0,0,0,0
IN,848.9732890643696,782.6139626704954,832.6752811677435,739.7657932519743,741.502901411821,701.194962909787,739.484625508495,752.7757836803063,759.5813890882988,819.8275604211534,795.4063472122517,793.7642079444844,841.2852955252454
KS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA,2923.262144053602,2954.3730557549657,3192.4623115577892,3196.8585486958605,3162.1649916247907,3134.182818856186,3123.875329026083,3143.307310361331,3075.1712431203646,2895.406347212252,3091.4341050490552,3012.167234984446,2991.413914812156
MD,1451.7632806891602,1434.4079026082795,1430.4797798516393,1467.973797559225,1280.809553720986,1367.8511605647286,1364.848049772673,1342.8481694185211,1362.5291636755205,1285.2768305814789,1358.84930605408,1140.0626645130415,1240.5532124910267
ME,605.7729121799474,597.7349545345777,385.4727506580522,396.88995573103614,386.3454175640105,403.13771237138076,403.70752572385743,339.1010110074181,294.3893575017947,264.1316702560421,253.8518485283561,214.98040799234266,153.84810959559707
MI,792.9319215123237,897.6250299114622,806.3262742282843,852.0040679588419,1021.3350981095957,1027.448253170615,817.152727925341,825.4658710217757,346.00158530748985,186.40449270160326,210.13325556353195,183.13217875089734,181.5850083752094
MN,1111.6624790619765,1266.8618389566882,1304.6602057908592,1296.41137233788,1316.0011366355589,1403.4899198372818,1375.11590691553,1428.9834589614743,1074.644801387892,1087.7893933955495,1070.9888729361091,1102.6553900454658,1062.5014955731037
MO,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC,17.777877482651352,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NH,241.20004785833933,243.77766810241687,226.53071907154825,176.78945321847334,176.78945321847334,176.78945321847334,176.78945321847334,176.78945321847334,176.78945321847334,176.78945321847334,176.78945321847334,157.28643216080405,160.93862167982775
NJ,2046.329863603733,2050.5914991624795,2089.628948312994,2091.120782483848,2051.679528595358,2124.7853852596318,2116.9351220387653,2109.816941852118,1993.8195441493183,1873.271865278775,1971.1115099306055,1918.8382388131133,1955.5373594161283
NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NY,3824.8175400813593,3812.4349425699934,3742.147493419479,3799.9603673127544,3896.6603852596318,3889.9183417085433,3987.045345776502,3921.1092665709502,3970.007776980139,3935.8997367791344,3961.10089136157,3903.3792474276142,3871.1511426178517
OH,NA,0.6251495573103614,0.8427554438860971,0.09496889207944484,NA,NA,45.81538645608997,0,NA,NA,NA,NA,NA
OK,264.72915171093564,336.0582675281168,318.2803900454654,322.21748624072745,360.3568437425222,372.6743838238814,358.2518245991864,330.6809344340752,320.072834410146,346.9909069155301,320.4250418760469,252.32860732232592,242.9588418281886
OR,183.9592306771955,182.96990906915534,182.72463508016273,182.32905599425703,181.88187963627664,176.31460875807613,176.16430366116296,176.7617851160565,179.39698492462313,174.43916008614505,172.60708303421876,162.73106604450828,138.7488035415171
